FECHA,TOTAL,AÑO,MES,DIA,DIA2,Minimum Temperature,Maximum Temperature,Wind Speed,Precipitation
04/09/2017,86,2017,septiembre,04,lunes,19.1,19.1,3.4,0
05/09/2017,85,2017,septiembre,05,martes,18.6,21.1,3.6,0
06/09/2017,70,2017,septiembre,06,miércoles,19.1,24.2,7.2,3
07/09/2017,76,2017,septiembre,07,jueves,17.6,25.2,7.2,0
08/09/2017,73,2017,septiembre,08,viernes,20.1,26.2,7.2,0
09/09/2017,72,2017,septiembre,09,sábado,19.1,26.2,11.2,0
10/09/2017,92,2017,septiembre,10,domingo,17.6,27.1,13,0
11/09/2017,76,2017,septiembre,11,lunes,19.6,27.2,7.2,0
12/09/2017,71,2017,septiembre,12,martes,18.6,27.9,3.6,0
13/09/2017,72,2017,septiembre,13,miércoles,19.1,28.2,7.6,0
14/09/2017,59,2017,septiembre,14,jueves,21.4,29.1,3.6,0
15/09/2017,73,2017,septiembre,15,viernes,20.5,25.9,7.2,0
16/09/2017,69,2017,septiembre,16,sábado,21.7,29.1,7.2,0
17/09/2017,88,2017,septiembre,17,domingo,24.9,28.4,11.2,0
18/09/2017,60,2017,septiembre,18,lunes,15.1,28.1,3.6,0
19/09/2017,77,2017,septiembre,19,martes,27.1,27.1,5.4,0
20/09/2017,68,2017,septiembre,20,miércoles,28.7,28.7,3.6,0
21/09/2017,74,2017,septiembre,21,jueves,19.2,25.1,5.4,0
22/09/2017,89,2017,septiembre,22,viernes,19.7,27.2,7.2,0.8
23/09/2017,76,2017,septiembre,23,sábado,19.4,24.2,7.2,0
24/09/2017,53,2017,septiembre,24,domingo,20.1,24.4,13,0
25/09/2017,76,2017,septiembre,25,lunes,20.5,23.4,3.6,0.2
26/09/2017,72,2017,septiembre,26,martes,24.9,26.4,3.6,0
27/09/2017,71,2017,septiembre,27,miércoles,19.9,27.7,3.6,0
28/09/2017,70,2017,septiembre,28,jueves,18.7,25.1,7.2,4
29/09/2017,71,2017,septiembre,29,viernes,19.1,25.1,16.6,0
30/09/2017,66,2017,septiembre,30,sábado,19.6,25.1,7.2,0
01/10/2017,77,2017,octubre,01,domingo,19.4,25.7,7.2,0
02/10/2017,81,2017,octubre,02,lunes,18.6,26.9,7.6,0
03/10/2017,65,2017,octubre,03,martes,25.1,26.1,14.8,0
04/10/2017,74,2017,octubre,04,miércoles,25.1,26.1,9.4,0
05/10/2017,72,2017,octubre,05,jueves,20.7,25.4,13,0
06/10/2017,67,2017,octubre,06,viernes,19.9,29.2,7.2,0
07/10/2017,67,2017,octubre,07,sábado,17.6,24.1,7.2,0
08/10/2017,76,2017,octubre,08,domingo,18.6,23.4,3.6,0
09/10/2017,70,2017,octubre,09,lunes,19.1,24.6,3.6,0
10/10/2017,78,2017,octubre,10,martes,19.1,27.9,13,0
11/10/2017,57,2017,octubre,11,miércoles,18.7,25.9,7.2,0
12/10/2017,67,2017,octubre,12,jueves,18.6,25.6,7.6,0
13/10/2017,74,2017,octubre,13,viernes,19.4,24.2,11.2,0
14/10/2017,52,2017,octubre,14,sábado,18.6,26.4,7.2,0
15/10/2017,69,2017,octubre,15,domingo,20.4,27.1,7.6,0
16/10/2017,78,2017,octubre,16,lunes,18.7,26.9,7.2,0
17/10/2017,66,2017,octubre,17,martes,17.6,25.2,7.2,0
18/10/2017,74,2017,octubre,18,miércoles,25.1,27.9,7.2,0
19/10/2017,71,2017,octubre,19,jueves,18.7,26.1,7.2,0
