TOTAL,ANIO,MES,DIA,DIA2,Tmin,Tmax,Temperature,Relative Humidity,Wind Speed,Wind Direction,luna,
72,1,4,25,2,19.1,29.3,23.9,41.02,11.3,214.33,3.231294504,
61,1,4,26,3,17.1,30,22.8,33.28,7.2,205,0.376255827,
66,1,4,27,4,13.1,27.9,19,38.77,3.6,100,0.358365175,
71,1,4,28,5,18.6,29.4,24.4,24.16,10.8,230,3.284012215,
53,1,4,29,6,8,32.1,21.6,40.01,7.2,90,8.996594261,
59,1,4,30,7,19.4,32.4,27,21.84,18.4,194,17.08696141,
67,1,5,1,1,19.1,32.1,25.6,29.7,33.5,350,26.95194516,
76,1,5,2,2,30.7,32.9,31.8,22.24,7.2,160,37.88440232,
54,1,5,3,3,15.1,32.7,26,29.72,13,232,49.16940425,
82,1,5,4,4,19.1,32.7,24.9,37.42,13,165,60.16315423,
67,1,5,5,5,21.4,32.3,27.3,36.1,7.2,205.33,70.34118958,
61,1,5,6,6,22.1,32.9,28.3,42.54,7.6,94.33,79.31438873,
72,1,5,7,7,18.1,31.9,26.2,36.83,10.8,203.33,86.82007448,
68,1,5,8,1,20.5,30.2,26.5,36.11,10.8,120,92.69905484,
77,1,5,9,2,20.5,32.4,27.9,33.63,18.4,115,96.86860607,
51,1,5,10,3,21.6,32.1,27.9,44.28,7.2,176.67,99.29827026,
51,1,5,11,4,22.1,34.3,29.2,33.92,11.3,208,99.99184617,
75,1,5,12,5,22.4,33.2,28.7,34.98,10.8,216.67,98.97625162,
72,1,5,13,6,23,32,22.85,51.98,8.09,200,96.29643068,
61,1,5,14,7,26.1,32.3,28.9,27.91,8.6,198,92.01508354,
75,1,5,15,1,21.1,34.1,26.8,40.56,8.3,257.67,86.21637677,
71,1,5,16,2,21.1,34.7,28.9,26.95,7.6,225,79.01349,
50,1,5,17,3,23.6,34.6,29.8,32.74,10.8,66.67,70.56035354,
64,1,5,18,4,19.1,35.4,27.2,25.21,10.8,187.25,61.06770241,
66,1,5,19,5,24.2,34.1,29.7,25.57,10.8,233.33,50.82220486,
66,1,5,20,6,14.1,34.6,26.1,38.03,7.2,90,40.20482959,
70,1,5,21,7,22.6,36.4,30.2,27.2,7.2,200,29.70133956,
71,1,5,22,1,22.1,34.9,28.6,31.22,7.2,203.33,19.89525832,
70,1,5,23,2,22.1,33.1,29.2,27.36,24.1,258,11.43402665,
75,1,5,24,3,18.1,33.1,25.6,50.42,7.2,135,4.964394797,
81,1,5,25,4,22.4,33.4,28.1,44.76,7.2,145.67,1.043570461,
65,1,5,26,5,22.6,35.4,29.5,37.08,7.2,126.67,0.045010999,
65,1,5,27,6,22.1,33.6,28.4,50.82,7.2,90,2.085648659,
64,1,5,28,7,21.1,33.1,28.9,32.97,18.4,280,6.998724071,
69,1,5,29,1,23.1,32.7,28.1,36.51,7.2,186.67,14.36234069,
60,1,5,30,2,22.6,32.2,27.8,48.69,7.2,93.33,23.57451986,
75,1,5,31,3,22.7,32.2,26.3,50.13,5.4,120,33.95071503,
69,1,6,1,4,20.8,32.7,27.2,41.13,7.2,110,44.816222,
63,1,6,2,5,23.1,33.9,28.8,39.05,7.2,146.67,55.57342442,
63,1,6,3,6,20.1,33.6,28,27.53,13,188,65.73647894,
71,1,6,4,7,19.1,34.1,26.8,28.59,5.4,185,74.93721302,
72,1,6,5,1,22.1,32.9,27.8,28.2,7.6,184.75,82.91198736,
73,1,6,6,2,23.1,34.3,28.8,37.91,7.2,212,89.47999271,
74,1,6,7,3,22.6,31.9,27.3,49.06,7.2,146.67,94.52092125,
62,1,6,8,4,22.6,31.2,27.2,50.55,7.2,186.67,97.95645639,
76,1,6,9,5,20.1,32.4,25.9,54.17,7.6,212.5,99.73710286,
62,1,6,10,6,21,30,25.7,66.09,7.2,90,99.83417072,
73,1,6,11,7,20.7,30.2,25.8,58.7,7.2,213.33,98.23622136,
76,1,6,12,1,20.5,31.9,26.5,54.46,7.2,301.33,94.94962633,
76,1,6,13,2,23.1,32.9,28.3,50.91,3.6,96.67,90.00359056,
53,1,6,14,3,24.1,31.3,28.4,43.38,7.4,135.67,83.46053268,
79,1,6,15,4,24,31.1,27.1,44.75,9.4,79.8,75.43260233,
68,1,6,16,5,23.6,32.7,27.5,55.54,7.2,183.33,66.10393806,
63,1,6,17,6,18.1,33,24.8,64.03,7.4,94.67,55.7558356,
61,1,6,18,7,23.7,32.4,27.7,48.84,20.5,310,44.78857328,
68,1,6,19,1,23.6,32.9,29.2,38.19,14.8,160,33.73026736,
63,1,6,20,2,24.6,30.9,27.8,41.84,16.6,75,23.22173114,
59,1,6,21,3,17.1,32.5,26.5,42.67,9.4,60.75,13.96919866,
61,1,6,22,4,19.1,32.9,25.9,58.9,7.6,117.5,6.665232955,
67,1,6,23,5,23.6,28.7,26.1,56.31,7.2,195,1.890581572,
57,1,6,24,6,23.6,33.1,28.7,51.19,7.2,75,0.020973918,
62,1,6,25,7,25.4,30.2,27.8,45.88,7.2,75,1.16613105,
64,1,6,26,1,20.5,26.1,24,61.32,9.4,132.5,5.15981156,
63,1,6,27,2,21.6,30.7,26.8,47.87,11.2,208.33,11.60242037,
85,1,6,28,3,21.1,23.9,22,78.41,7.2,164,19.94008207,
55,1,6,29,4,21.1,27.1,24.4,64.64,14.8,160,29.55471727,
86,1,6,30,5,19.9,19.9,19.9,81.81,3.6,310,39.84165526,
59,1,7,1,6,17.1,23.4,20,82.79,18.4,90,50.26126299,
62,1,7,2,7,17.1,27.2,21.6,76.4,4.1,141,60.36258594,
69,1,7,3,1,18.1,26.9,22.8,67.76,3.6,110,69.78507129,
60,1,7,4,2,20.1,26.4,24.5,51.52,22.3,116,78.24744025,
55,1,7,5,3,19.6,28.6,24.6,56.6,7.2,83.33,85.53179215,
75,1,7,6,4,19.1,28.9,24.5,64.48,7.2,66.67,91.46819013,
77,1,7,7,5,19.4,28.4,24.2,61.42,7.2,76.67,95.92213223,
79,1,7,8,6,19.6,27.6,24.1,73.37,7.2,90,98.78545217,
68,1,7,9,7,21.7,25.7,23.7,66.94,3.6,105,99.970546,
71,1,7,10,1,18.4,24.2,21.3,76.28,3.6,113.33,99.40809568,
70,1,7,11,2,19.6,20.8,20.2,84.27,3.6,55,97.04914591,
62,1,7,12,3,20.7,26.9,23.9,67.38,7.2,243.33,92.87293018,
56,1,7,13,4,20.1,24.4,22.2,71.88,7.2,185,86.90175044,
66,1,7,14,5,20.1,20.1,20.1,87.17,3.6,90,79.2231237,
53,1,7,15,6,21.1,29.1,24.6,58.95,7.2,90,70.01714918,
70,1,7,16,7,21.2,27.1,24.1,59.92,3.6,170,59.58381679,
75,1,7,17,1,19.1,27.1,23.5,66.05,3.6,186.67,48.36157228,
72,1,7,18,2,19.6,27.9,24.4,64.45,7.2,83.33,36.92642008,
53,1,7,19,3,18.6,27.2,23.8,70.42,7.2,83.33,25.96217459,
77,1,7,20,4,19.6,26.2,22.7,65.54,3.6,113.33,16.19860123,
81,1,7,21,5,20.1,27.9,23.9,67.56,3.8,118.33,8.324520005,
50,1,7,22,6,20.5,29.6,24.3,66.18,7.2,90,2.893912045,
69,1,7,23,7,19.6,27.9,24.7,63.09,11.2,110,0.249135985,
72,1,7,24,1,20.1,20.1,20.1,79.27,3.6,80,0.48220193,
