Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"zapopan","03/01/2018",15.2,29.1,24.9,3.7,29.1,27.4,18.4,,130.8,,0,0,,12.7,10,1014,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","03/02/2018",16.6,29.1,23.7,4.7,31.32,27.5,14.8,,132.5,,0,0,,12.2,5,1013.7,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","03/03/2018",17.1,29.6,23.9,13.7,54.9,29.2,7.2,,90,,0,0,,12,13.3,1014.4,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","03/04/2018",17.2,29.4,24.1,8.6,42.27,27.7,7.2,,220,,0,0,,12,3.3,1012.9,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","03/05/2018",15.1,29.1,24.3,2.5,30.37,27.4,7.6,,263,,0,0,,14.1,0,1014.1,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","03/06/2018",10.1,29.2,20.7,5.3,40.69,27.6,10.8,,163.33,,0,0,,13.8,15,1010.9,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","03/07/2018",15.6,30,23.4,5.8,41.27,,3.6,,263.33,,0,0,,12,0,1012.8,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","03/08/2018",16.1,29.9,24,3.7,31.51,28,10.8,,130,,0,0,,12,0,1013.2,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","03/09/2018",15.1,29.7,23.5,0.9,26.67,27.9,10.8,,233.33,,0,0,,12,13.3,1012,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","03/10/2018",27.1,30.6,28.8,8.5,27.94,29.1,7.2,,90,,0,0,,12,0,1010.7,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","03/11/2018",16.4,32.1,26.8,2.3,26.75,29.8,7.2,,216.67,,0,0,,13,37.5,1011.7,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","03/12/2018",17.1,32.9,25,5.6,33.89,30.6,7.2,,210,,0,0,,12,20,1009.8,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","03/13/2018",13.1,31.9,22.9,5.3,36.06,29.7,10.8,,165,,0,0,,13,0,1013.2,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","03/14/2018",16.6,30.3,24.4,5.3,34.49,28.4,7.2,,173.33,,0,0,,12.1,0,1013.8,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","03/15/2018",16.1,28.4,22.5,7,41.41,26.9,10.8,,153.33,,0,0,,12.2,0,1014.2,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","03/16/2018",17.1,29.2,23.8,3.9,30.97,27.5,10.8,,146.67,,0,0,,12,0,1014,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","03/17/2018",16.1,29.6,23.7,6.6,35.47,28.1,7.2,,90,,0,0,,12,0,1014.5,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","03/18/2018",26.4,26.4,26.4,2.2,20.82,,7.2,,300,,0,0,,12,60,1013.4,"Sky Coverage Increasing",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","03/19/2018",15.1,30.3,24,2.2,28.87,28.4,14.4,,307,,0,0,,12.1,0,1010.8,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","03/20/2018",,,,,,,,,,,,,,,,,"",20.72163,-103.39335,"Zapopan, JAL, México","","",""
"zapopan","03/21/2018",16.6,32.1,26.8,1.5,26.51,29.9,9.4,,166.25,,0,0,,13.1,0,1011.6,"",20.72163,-103.39335,"Zapopan, JAL, México","","No data available","Clear"
"zapopan","03/22/2018",18.6,31.9,27.5,2.7,26.31,29.6,7.6,,187.5,,0,0,,12.2,0,1015.2,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","03/23/2018",18.6,33.2,27,5.9,30.16,30.8,7.2,,130,,0,0,,12.2,0,1015.2,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","03/24/2018",18.1,33.6,28,4.7,26.33,31.7,9.4,,139.25,,0,0,,12.2,8.3,1012.6,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
