TOTAL,MES,DIA,DIA2,Temperature,Relative Humidity,Wind Speed,Wind Direction,luna,P
63,6,2,5,28.8,39.05,7.2,146.67,55.57342442,100
63,6,3,6,28,27.53,13,188,65.73647894,100
71,6,4,7,26.8,28.59,5.4,185,74.93721302,100
72,6,5,1,27.8,28.2,7.6,184.75,82.91198736,100
73,6,6,2,28.8,37.91,7.2,212,89.47999271,100
74,6,7,3,27.3,49.06,7.2,146.67,94.52092125,100
62,6,8,4,27.2,50.55,7.2,186.67,97.95645639,100
76,6,9,5,25.9,54.17,7.6,212.5,99.73710286,100
62,6,10,6,25.7,66.09,7.2,90,99.83417072,100
73,6,11,7,25.8,58.7,7.2,213.33,98.23622136,100
76,6,12,1,26.5,54.46,7.2,301.33,94.94962633,100
76,6,13,2,28.3,50.91,3.6,96.67,90.00359056,100
53,6,14,3,28.4,43.38,7.4,135.67,83.46053268,100
79,6,15,4,27.1,44.75,9.4,79.8,75.43260233,100
68,6,16,5,27.5,55.54,7.2,183.33,66.10393806,100
63,6,17,6,24.8,64.03,7.4,94.67,55.7558356,100
61,6,18,7,27.7,48.84,20.5,310,44.78857328,100
68,6,19,1,29.2,38.19,14.8,160,33.73026736,100
63,6,20,2,27.8,41.84,16.6,75,23.22173114,100
59,6,21,3,26.5,42.67,9.4,60.75,13.96919866,100
61,6,22,4,25.9,58.9,7.6,117.5,6.665232955,100
67,6,23,5,26.1,56.31,7.2,195,1.890581572,100
57,6,24,6,28.7,51.19,7.2,75,0.020973918,100
62,6,25,7,27.8,45.88,7.2,75,1.16613105,100
64,6,26,1,24,61.32,9.4,132.5,5.15981156,100
63,6,27,2,26.8,47.87,11.2,208.33,11.60242037,100
85,6,28,3,22,78.41,7.2,164,19.94008207,100
55,6,29,4,24.4,64.64,14.8,160,29.55471727,100
86,6,30,5,19.9,81.81,3.6,310,39.84165526,100
59,7,1,6,20,82.79,18.4,90,50.26126299,100
62,7,2,7,21.6,76.4,4.1,141,60.36258594,100
69,7,3,1,22.8,67.76,3.6,110,69.78507129,100
60,7,4,2,24.5,51.52,22.3,116,78.24744025,100
55,7,5,3,24.6,56.6,7.2,83.33,85.53179215,100
75,7,6,4,24.5,64.48,7.2,66.67,91.46819013,100
